,StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed
32,576305,15,20000497,1,2019,Giannis Antetokounmpo,MIL,PF,72,20000015,2019-06-24T22:18:50,72,4377.9,2686,26,821.2,1420.3,65.8,68.2,762.0,1189.1,73.0,59.2,231.2,29.2,569.5,781.4,83.0,181.1,841.7,1022.8,9.4,34.2,22.0,482.9,104.8,125.3,305.3,264.2,2271.2,1764.1,73.4,41.7,34.5,2.4,5.1,16.8,36.9,4607.9,4712.0,4607.9,741.5,61.5,6.5,4712.0,False
33,576306,15,20000498,1,2019,Ersan Ilyasova,MIL,PF,7,20000015,2019-06-24T22:18:50,67,1081.4,1402,21,190.2,434.0,49.9,58.5,124.2,251.7,56.2,66.1,182.2,41.2,69.5,84.3,93.9,107.1,236.9,344.0,10.7,18.4,14.2,59.2,36.4,22.8,54.7,195.9,516.0,471.0,62.4,15.8,7.2,1.6,1.8,11.8,18.0,1140.6,1164.1,1140.6,273.4,3.9,0.0,1164.1,False
34,576307,14,20000499,1,2019,Zaza Pachulia,DET,C,3,20000014,2019-06-24T22:18:50,68,866.2,1000,9,96.8,219.8,50.1,50.1,96.8,215.3,51.3,0.0,5.2,0.0,110.5,141.2,89.1,112.8,189.1,301.8,13.5,24.4,18.8,103.6,35.3,19.4,64.9,172.0,304.1,282.0,61.4,17.1,16.7,2.3,2.1,21.3,17.2,920.9,913.8,920.9,-110.5,0.0,0.0,913.8,False
35,576308,15,20000500,1,2019,Khris Middleton,MIL,SF,77,20000015,2019-06-24T22:18:50,77,2798.2,2726,35,576.3,1307.6,50.2,59.1,372.5,767.7,55.2,203.9,539.9,43.1,246.0,293.9,95.3,57.0,468.1,525.1,2.9,18.7,11.1,377.0,91.1,9.1,198.2,195.9,1602.6,1436.9,63.6,23.1,22.9,2.0,0.3,13.8,28.8,2897.3,3037.4,2897.3,624.2,9.1,0.0,3037.4,False
36,576309,5,20000501,1,2019,Michael Carter-Williams,ORL,PG,1,20000005,2019-06-24T22:18:50,28,424.8,423,54,52.4,140.1,42.6,47.3,41.0,96.8,48.3,11.4,43.3,30.0,36.4,60.4,68.8,21.6,58.1,79.7,7.0,17.0,11.5,79.7,22.8,17.1,22.8,54.7,152.6,166.7,52.1,19.0,30.1,3.4,4.4,13.7,22.3,464.7,445.9,464.7,3.9,0.0,0.0,445.9,False
37,576310,12,20000502,1,2019,John Henson,CLE,PF,0,20000012,2019-06-24T22:18:50,14,238.3,214,27,35.3,76.3,52.7,61.2,22.8,41.0,63.3,12.5,35.3,40.4,7.8,11.4,68.3,18.2,62.6,80.9,10.3,38.6,23.8,15.9,9.1,12.5,13.7,18.2,90.0,81.3,62.9,23.2,13.2,2.4,6.6,16.4,22.2,258.8,255.4,258.8,1.3,0.0,0.0,255.4,False
38,575668,16,20000504,1,2019,Jerryd Bayless,MIN,PG,6,20000016,2019-06-24T22:18:50,34,535.2,747,66,93.4,262.0,40.7,47.5,60.4,150.3,45.8,33.0,111.6,33.7,18.2,31.9,65.0,12.5,58.1,70.6,2.3,10.9,6.6,135.5,20.5,2.6,36.4,63.8,238.1,276.0,49.1,12.0,28.1,1.7,0.3,13.3,20.1,558.0,576.9,558.0,-183.4,2.6,0.0,576.9,False
39,576311,8,20000505,1,2019,Jared Dudley,BKN,SF,25,20000008,2019-06-24T22:18:50,59,750.0,1388,38,115.0,272.2,48.2,61.1,54.7,100.2,62.1,60.4,172.0,40.0,36.4,52.4,79.3,38.7,137.8,176.5,3.8,11.8,8.6,94.5,41.0,18.2,49.0,149.2,326.9,295.3,63.1,10.5,10.4,1.8,1.3,16.2,11.9,809.3,813.5,809.3,39.9,0.0,0.0,813.5,False
40,576312,3,20000509,1,2019,Miles Plumlee,ATL,C,0,20000003,2019-06-24T22:18:50,18,184.9,196,64,36.4,54.7,76.0,76.0,36.4,54.7,76.0,0.0,0.0,0.0,18.2,34.2,60.7,18.2,26.2,44.4,10.8,16.3,13.5,19.4,7.8,5.2,11.4,15.9,91.1,69.7,74.7,25.3,16.7,2.1,2.6,16.0,19.1,196.2,192.8,196.2,-49.0,0.0,0.0,192.8,False
41,577196,1,20000511,1,2019,Jabari Parker,WAS,PF,17,20000001,2019-06-24T22:18:50,64,1895.5,1964,18,420.3,853.1,56.2,60.8,350.8,631.0,63.3,69.5,222.1,35.7,149.2,209.6,81.1,90.0,389.5,479.5,6.3,24.9,15.1,173.1,52.4,34.2,172.0,165.2,1059.3,945.3,63.8,20.8,15.4,1.6,1.9,17.5,27.6,1982.1,2053.9,1982.1,-232.4,10.4,0.0,2053.9,False
